,African American Studies,Anthropology,Bio-Engineering,Biological Sciences,Chemistry & Biochemistry,Chinese Studies,Cognitive Science,Communication,Computer Science,Data Science,Electrical & Computer Eng,Economics,Education Studies,Environmental Studies,Ethnic Studies,Gender Studies,Global Health,Global South Studies,Human Development Sciences,History,International Studies,Japanese Studies,Jewish Studies,Latin American Studies,Linguistics,Literature,Mechanical Engineering,Mathematics,Music,Nano Engineering,Philosophy,Physics,Political Science,Public Health,Psychology,Rady School of Management,Religion,Scripps Institute,Sociology,Structural Engineering,Theatre,Urban Studies,Visual Arts
International Studies,0.6904761904761905,0.42857142857142855,0.09523809523809523,0.14285714285714285,0.40476190476190477,0.38095238095238093,0.14285714285714285,0.47619047619047616,0.11904761904761904,0.11904761904761904,0.38095238095238093,0.9047619047619047,0.38095238095238093,0.5714285714285714,0.6428571428571428,0.8333333333333333,0.8095238095238095,0.9761904761904762,0.5,0.8095238095238095,1.0,0.6428571428571428,0.7142857142857142,0.8571428571428571,0.16666666666666666,0.26190476190476186,0.16666666666666666,0.16666666666666666,0.23809523809523808,0.14285714285714285,0.738095238095238,0.26190476190476186,0.9285714285714285,0.5,0.40476190476190477,0.14285714285714285,0.8333333333333333,0.047619047619047616,0.6428571428571428,0.21428571428571427,0.11904761904761904,0.3571428571428571,0.14285714285714285
Japanese Studies,0.6428571428571428,0.19047619047619047,0.19047619047619047,0.07142857142857142,0.023809523809523808,0.8571428571428571,0.11904761904761904,0.3333333333333333,0.14285714285714285,0.23809523809523808,0.047619047619047616,0.07142857142857142,0.21428571428571427,0.6666666666666666,0.6666666666666666,0.5476190476190476,0.38095238095238093,0.5238095238095237,0.07142857142857142,0.47619047619047616,0.5,1.0,0.8571428571428571,0.38095238095238093,0.7619047619047619,0.45238095238095233,0.09523809523809523,0.14285714285714285,0.47619047619047616,0.16666666666666666,0.14285714285714285,0.047619047619047616,0.38095238095238093,0.14285714285714285,0.11904761904761904,0.38095238095238093,0.40476190476190477,0.23809523809523808,0.23809523809523808,0.11904761904761904,0.3333333333333333,0.21428571428571427,0.30952380952380953
Jewish Studies,0.9047619047619047,0.07142857142857142,0.14285714285714285,0.0,0.0,0.5238095238095237,0.0,0.07142857142857142,0.023809523809523808,0.0,0.023809523809523808,0.0,0.11904761904761904,0.6428571428571428,0.6904761904761905,0.6428571428571428,0.0,0.5952380952380952,0.19047619047619047,0.5238095238095237,0.47619047619047616,0.8095238095238095,1.0,0.6190476190476191,0.11904761904761904,0.2857142857142857,0.0,0.0,0.19047619047619047,0.023809523809523808,0.23809523809523808,0.0,0.0,0.047619047619047616,0.023809523809523808,0.023809523809523808,0.6190476190476191,0.023809523809523808,0.11904761904761904,0.0,0.0,0.0,0.0
Latin American Studies,0.8333333333333333,0.38095238095238093,0.0,0.09523809523809523,0.11904761904761904,0.3571428571428571,0.023809523809523808,0.16666666666666666,0.0,0.07142857142857142,0.11904761904761904,0.30952380952380953,0.14285714285714285,0.26190476190476186,0.7142857142857142,0.45238095238095233,0.5714285714285714,0.9285714285714285,0.47619047619047616,0.8571428571428571,0.7857142857142857,0.3333333333333333,0.6904761904761905,1.0,0.2857142857142857,0.5238095238095237,0.047619047619047616,0.023809523809523808,0.5,0.0,0.3333333333333333,0.07142857142857142,0.5,0.5238095238095237,0.14285714285714285,0.0,0.7857142857142857,0.0,0.3571428571428571,0.023809523809523808,0.09523809523809523,0.11904761904761904,0.21428571428571427
Linguistics,0.2857142857142857,0.45238095238095233,0.2857142857142857,0.2857142857142857,0.3571428571428571,0.9047619047619047,0.8095238095238095,0.6904761904761905,0.47619047619047616,0.38095238095238093,0.40476190476190477,0.21428571428571427,0.45238095238095233,0.23809523809523808,0.30952380952380953,0.38095238095238093,0.19047619047619047,0.26190476190476186,0.45238095238095233,0.42857142857142855,0.30952380952380953,0.8333333333333333,0.5238095238095237,0.45238095238095233,1.0,0.8571428571428571,0.30952380952380953,0.5,0.5714285714285714,0.30952380952380953,0.5238095238095237,0.38095238095238093,0.2857142857142857,0.19047619047619047,0.5952380952380952,0.40476190476190477,0.3333333333333333,0.3571428571428571,0.38095238095238093,0.5714285714285714,0.5476190476190476,0.3333333333333333,0.47619047619047616
Literature,0.7142857142857142,0.8333333333333333,0.6666666666666666,0.8333333333333333,0.738095238095238,0.9523809523809523,0.6904761904761905,0.9285714285714285,0.738095238095238,0.6190476190476191,0.5476190476190476,0.6904761904761905,0.8571428571428571,0.7619047619047619,0.9047619047619047,0.8571428571428571,0.6666666666666666,0.8571428571428571,0.6904761904761905,0.9761904761904762,0.6428571428571428,0.9047619047619047,0.8809523809523809,0.8809523809523809,0.9761904761904762,1.0,0.6428571428571428,0.8571428571428571,0.9761904761904762,0.6904761904761905,0.9523809523809523,0.738095238095238,0.8095238095238095,0.738095238095238,0.7619047619047619,0.9047619047619047,0.8809523809523809,0.8095238095238095,0.8095238095238095,0.5238095238095237,0.9761904761904762,0.8333333333333333,0.9523809523809523
Mechanical Engineering,0.07142857142857142,0.30952380952380953,0.9761904761904762,0.5952380952380952,0.8809523809523809,0.16666666666666666,0.5714285714285714,0.30952380952380953,0.8809523809523809,0.6666666666666666,0.9761904761904762,0.5714285714285714,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.11904761904761904,0.2857142857142857,0.21428571428571427,0.26190476190476186,0.14285714285714285,0.26190476190476186,0.16666666666666666,0.16666666666666666,0.21428571428571427,0.45238095238095233,0.23809523809523808,1.0,0.9523809523809523,0.42857142857142855,0.9761904761904762,0.30952380952380953,0.9761904761904762,0.23809523809523808,0.2857142857142857,0.3333333333333333,0.6428571428571428,0.21428571428571427,0.9285714285714285,0.21428571428571427,0.9761904761904762,0.5952380952380952,0.47619047619047616,0.5476190476190476
Mathematics,0.047619047619047616,0.21428571428571427,0.7857142857142857,0.5,0.7857142857142857,0.3333333333333333,0.7619047619047619,0.3571428571428571,0.9285714285714285,0.9047619047619047,0.8333333333333333,0.9523809523809523,0.5,0.11904761904761904,0.21428571428571427,0.26190476190476186,0.16666666666666666,0.09523809523809523,0.23809523809523808,0.21428571428571427,0.21428571428571427,0.19047619047619047,0.07142857142857142,0.09523809523809523,0.6428571428571428,0.5714285714285714,0.8809523809523809,1.0,0.5238095238095237,0.7857142857142857,0.7142857142857142,0.9523809523809523,0.26190476190476186,0.30952380952380953,0.30952380952380953,0.8095238095238095,0.23809523809523808,0.9523809523809523,0.2857142857142857,0.8809523809523809,0.6190476190476191,0.45238095238095233,0.42857142857142855
Music,0.47619047619047616,0.16666666666666666,0.11904761904761904,0.047619047619047616,0.07142857142857142,0.09523809523809523,0.3571428571428571,0.19047619047619047,0.19047619047619047,0.023809523809523808,0.16666666666666666,0.09523809523809523,0.047619047619047616,0.023809523809523808,0.40476190476190477,0.16666666666666666,0.047619047619047616,0.16666666666666666,0.14285714285714285,0.11904761904761904,0.11904761904761904,0.2857142857142857,0.42857142857142855,0.3571428571428571,0.19047619047619047,0.40476190476190477,0.21428571428571427,0.23809523809523808,1.0,0.21428571428571427,0.09523809523809523,0.14285714285714285,0.07142857142857142,0.023809523809523808,0.19047619047619047,0.11904761904761904,0.26190476190476186,0.16666666666666666,0.09523809523809523,0.23809523809523808,0.7857142857142857,0.07142857142857142,0.6190476190476191
Nano Engineering,0.023809523809523808,0.09523809523809523,0.8809523809523809,0.6428571428571428,0.9523809523809523,0.023809523809523808,0.26190476190476186,0.09523809523809523,0.5476190476190476,0.3571428571428571,0.9047619047619047,0.11904761904761904,0.023809523809523808,0.047619047619047616,0.023809523809523808,0.0,0.09523809523809523,0.023809523809523808,0.047619047619047616,0.023809523809523808,0.023809523809523808,0.047619047619047616,0.023809523809523808,0.023809523809523808,0.09523809523809523,0.047619047619047616,0.9285714285714285,0.5952380952380952,0.047619047619047616,1.0,0.023809523809523808,0.8333333333333333,0.11904761904761904,0.09523809523809523,0.07142857142857142,0.2857142857142857,0.023809523809523808,0.5238095238095237,0.047619047619047616,0.9285714285714285,0.30952380952380953,0.16666666666666666,0.23809523809523808
Philosophy,0.6190476190476191,0.6428571428571428,0.23809523809523808,0.738095238095238,0.8333333333333333,0.7857142857142857,0.7857142857142857,0.6428571428571428,0.5714285714285714,0.5952380952380952,0.6904761904761905,0.7619047619047619,0.8095238095238095,0.6190476190476191,0.5952380952380952,0.7857142857142857,0.47619047619047616,0.6428571428571428,0.7619047619047619,0.738095238095238,0.7142857142857142,0.5238095238095237,0.738095238095238,0.7142857142857142,0.8333333333333333,0.9047619047619047,0.5,0.738095238095238,0.738095238095238,0.38095238095238093,1.0,0.7857142857142857,0.6428571428571428,0.6190476190476191,0.8333333333333333,0.42857142857142855,0.9761904761904762,0.42857142857142855,0.7857142857142857,0.38095238095238093,0.7142857142857142,0.5476190476190476,0.7142857142857142
Physics,0.21428571428571427,0.14285714285714285,0.738095238095238,0.6904761904761905,0.9047619047619047,0.11904761904761904,0.42857142857142855,0.11904761904761904,0.5,0.5,0.8571428571428571,0.2857142857142857,0.23809523809523808,0.16666666666666666,0.09523809523809523,0.23809523809523808,0.11904761904761904,0.19047619047619047,0.38095238095238093,0.09523809523809523,0.3571428571428571,0.07142857142857142,0.11904761904761904,0.19047619047619047,0.21428571428571427,0.19047619047619047,0.8571428571428571,0.9047619047619047,0.2857142857142857,0.8571428571428571,0.5952380952380952,1.0,0.16666666666666666,0.11904761904761904,0.2857142857142857,0.26190476190476186,0.30952380952380953,0.8333333333333333,0.16666666666666666,0.8095238095238095,0.23809523809523808,0.14285714285714285,0.2857142857142857
Political Science,0.5952380952380952,0.7857142857142857,0.3571428571428571,0.3571428571428571,0.26190476190476186,0.6428571428571428,0.5952380952380952,0.7857142857142857,0.40476190476190477,0.8571428571428571,0.30952380952380953,0.8571428571428571,0.5952380952380952,0.5952380952380952,0.738095238095238,0.6666666666666666,0.6190476190476191,0.8809523809523809,0.3333333333333333,0.8333333333333333,0.9285714285714285,0.6904761904761905,0.2857142857142857,0.7619047619047619,0.5714285714285714,0.6666666666666666,0.3571428571428571,0.40476190476190477,0.3571428571428571,0.45238095238095233,0.6428571428571428,0.42857142857142855,1.0,0.5952380952380952,0.6666666666666666,0.738095238095238,0.5238095238095237,0.6904761904761905,0.8571428571428571,0.3571428571428571,0.6904761904761905,0.9523809523809523,0.7619047619047619
Public Health,0.38095238095238093,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.3333333333333333,0.19047619047619047,0.30952380952380953,0.26190476190476186,0.2857142857142857,0.5476190476190476,0.2857142857142857,0.6428571428571428,0.42857142857142855,0.45238095238095233,0.38095238095238093,0.40476190476190477,0.9761904761904762,0.5714285714285714,0.7142857142857142,0.3333333333333333,0.42857142857142855,0.30952380952380953,0.45238095238095233,0.5952380952380952,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.30952380952380953,0.16666666666666666,0.2857142857142857,0.21428571428571427,0.16666666666666666,0.3571428571428571,1.0,0.7857142857142857,0.45238095238095233,0.5714285714285714,0.2857142857142857,0.42857142857142855,0.3333333333333333,0.2857142857142857,0.738095238095238,0.16666666666666666
Psychology,0.5476190476190476,0.8809523809523809,0.6190476190476191,0.8571428571428571,0.6904761904761905,0.7142857142857142,0.9761904761904762,0.738095238095238,0.7142857142857142,0.7142857142857142,0.6666666666666666,0.7142857142857142,0.9761904761904762,0.738095238095238,0.5714285714285714,0.7142857142857142,0.9047619047619047,0.5,0.9285714285714285,0.6190476190476191,0.5952380952380952,0.5952380952380952,0.6190476190476191,0.5476190476190476,0.8571428571428571,0.6190476190476191,0.6190476190476191,0.5476190476190476,0.7857142857142857,0.6190476190476191,0.8333333333333333,0.7142857142857142,0.7142857142857142,0.9047619047619047,1.0,0.7142857142857142,0.7619047619047619,0.6666666666666666,0.9047619047619047,0.6904761904761905,0.5714285714285714,0.7142857142857142,0.6904761904761905
Rady School of Management,0.19047619047619047,0.3333333333333333,0.5952380952380952,0.38095238095238093,0.16666666666666666,0.5952380952380952,0.45238095238095233,0.40476190476190477,0.6190476190476191,0.8809523809523809,0.42857142857142855,0.8809523809523809,0.5238095238095237,0.3571428571428571,0.2857142857142857,0.21428571428571427,0.40476190476190477,0.3571428571428571,0.09523809523809523,0.26190476190476186,0.16666666666666666,0.45238095238095233,0.30952380952380953,0.07142857142857142,0.38095238095238093,0.47619047619047616,0.5238095238095237,0.6666666666666666,0.30952380952380953,0.5238095238095237,0.11904761904761904,0.2857142857142857,0.5714285714285714,0.47619047619047616,0.38095238095238093,1.0,0.07142857142857142,0.6190476190476191,0.26190476190476186,0.45238095238095233,0.6428571428571428,0.6666666666666666,0.5
Religion,0.5238095238095237,0.7142857142857142,0.023809523809523808,0.30952380952380953,0.47619047619047616,0.42857142857142855,0.38095238095238093,0.21428571428571427,0.16666666666666666,0.19047619047619047,0.3571428571428571,0.40476190476190477,0.26190476190476186,0.38095238095238093,0.5238095238095237,0.6190476190476191,0.6904761904761905,0.6666666666666666,0.738095238095238,0.7142857142857142,0.6666666666666666,0.5,0.8095238095238095,0.8095238095238095,0.3333333333333333,0.5,0.23809523809523808,0.19047619047619047,0.5476190476190476,0.07142857142857142,0.9761904761904762,0.30952380952380953,0.30952380952380953,0.6666666666666666,0.5,0.047619047619047616,1.0,0.07142857142857142,0.6666666666666666,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.3571428571428571
Scripps Institute,0.23809523809523808,0.6190476190476191,0.8095238095238095,0.9285714285714285,0.9285714285714285,0.47619047619047616,0.6190476190476191,0.7142857142857142,0.7619047619047619,0.8095238095238095,0.8095238095238095,0.5952380952380952,0.6428571428571428,0.7857142857142857,0.45238095238095233,0.30952380952380953,0.5,0.3333333333333333,0.30952380952380953,0.5,0.19047619047619047,0.5476190476190476,0.38095238095238093,0.11904761904761904,0.738095238095238,0.5952380952380952,0.8333333333333333,0.9285714285714285,0.6428571428571428,0.8095238095238095,0.45238095238095233,0.9285714285714285,0.6904761904761905,0.5714285714285714,0.6428571428571428,0.8571428571428571,0.11904761904761904,1.0,0.47619047619047616,0.8571428571428571,0.8095238095238095,0.7857142857142857,0.738095238095238
Sociology,0.8809523809523809,0.9761904761904762,0.42857142857142855,0.6190476190476191,0.6190476190476191,0.738095238095238,0.738095238095238,0.9523809523809523,0.6428571428571428,0.7857142857142857,0.5714285714285714,0.9285714285714285,0.9047619047619047,0.8333333333333333,0.8571428571428571,0.8809523809523809,0.738095238095238,0.7857142857142857,0.8571428571428571,0.8809523809523809,0.8809523809523809,0.7619047619047619,0.6428571428571428,0.7857142857142857,0.8095238095238095,0.8095238095238095,0.47619047619047616,0.5238095238095237,0.7142857142857142,0.5952380952380952,0.8809523809523809,0.6190476190476191,0.8809523809523809,0.8095238095238095,0.9047619047619047,0.6666666666666666,0.9047619047619047,0.5714285714285714,1.0,0.6666666666666666,0.738095238095238,0.9285714285714285,0.8095238095238095
Structural Engineering,0.0,0.11904761904761904,0.8571428571428571,0.16666666666666666,0.5238095238095237,0.0,0.3333333333333333,0.14285714285714285,0.7857142857142857,0.45238095238095233,0.9285714285714285,0.23809523809523808,0.07142857142857142,0.0,0.0,0.023809523809523808,0.14285714285714285,0.0,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.047619047619047616,0.42857142857142855,0.023809523809523808,0.9761904761904762,0.6904761904761905,0.14285714285714285,0.8809523809523809,0.047619047619047616,0.7619047619047619,0.14285714285714285,0.21428571428571427,0.16666666666666666,0.3333333333333333,0.047619047619047616,0.5952380952380952,0.14285714285714285,1.0,0.42857142857142855,0.26190476190476186,0.40476190476190477
Theatre,0.3571428571428571,0.3571428571428571,0.45238095238095233,0.19047619047619047,0.14285714285714285,0.40476190476190477,0.2857142857142857,0.5238095238095237,0.3571428571428571,0.21428571428571427,0.26190476190476186,0.14285714285714285,0.19047619047619047,0.14285714285714285,0.5476190476190476,0.2857142857142857,0.21428571428571427,0.23809523809523808,0.11904761904761904,0.40476190476190477,0.14285714285714285,0.38095238095238093,0.14285714285714285,0.30952380952380953,0.5476190476190476,0.7857142857142857,0.45238095238095233,0.47619047619047616,0.9523809523809523,0.40476190476190477,0.2857142857142857,0.21428571428571427,0.40476190476190477,0.16666666666666666,0.21428571428571427,0.5714285714285714,0.16666666666666666,0.40476190476190477,0.19047619047619047,0.47619047619047616,1.0,0.5238095238095237,0.8333333333333333
Urban Studies,0.7857142857142857,0.9285714285714285,0.6428571428571428,0.5476190476190476,0.42857142857142855,0.6190476190476191,0.6428571428571428,0.8571428571428571,0.6666666666666666,0.6428571428571428,0.5238095238095237,0.8333333333333333,0.7619047619047619,0.9047619047619047,0.8095238095238095,0.6904761904761905,0.8571428571428571,0.6190476190476191,0.5952380952380952,0.7857142857142857,0.5714285714285714,0.6666666666666666,0.5952380952380952,0.5,0.7142857142857142,0.7619047619047619,0.738095238095238,0.6428571428571428,0.6190476190476191,0.6666666666666666,0.6190476190476191,0.47619047619047616,0.9761904761904762,0.9285714285714285,0.738095238095238,0.9523809523809523,0.45238095238095233,0.8571428571428571,0.9285714285714285,0.7857142857142857,0.8571428571428571,1.0,0.9047619047619047
Visual Arts,0.42857142857142855,0.47619047619047616,0.40476190476190477,0.23809523809523808,0.2857142857142857,0.5714285714285714,0.40476190476190477,0.7619047619047619,0.45238095238095233,0.30952380952380953,0.5,0.16666666666666666,0.2857142857142857,0.30952380952380953,0.47619047619047616,0.42857142857142855,0.26190476190476186,0.38095238095238093,0.21428571428571427,0.6428571428571428,0.3333333333333333,0.42857142857142855,0.3571428571428571,0.42857142857142855,0.5,0.7142857142857142,0.42857142857142855,0.3333333333333333,0.8809523809523809,0.5,0.3571428571428571,0.40476190476190477,0.5952380952380952,0.23809523809523808,0.26190476190476186,0.5,0.3571428571428571,0.38095238095238093,0.5,0.5952380952380952,0.9285714285714285,0.6428571428571428,1.0
